,Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,puerto ayora,ec,-0.7393,-90.3518,71.55,86,97,8.01
1,ushuaia,ar,-54.8,-68.3,37.06,75,40,17.27
2,bathsheba,bb,13.2167,-59.5167,77.61,88,75,25.32
5,tasiilaq,gl,65.6145,-37.6368,41.77,83,43,3.2
6,khuzhir,ru,53.1939,107.3397,53.98,80,75,7.61
7,cape town,za,-33.9258,18.4232,55.36,88,75,1.01
9,busselton,au,-33.65,115.3333,49.05,75,9,13.56
10,chuy,uy,-33.6971,-53.4616,51.87,77,100,1.05
12,hobart,au,-42.8794,147.3294,41.94,80,20,5.01
13,thompson,ca,55.7435,-97.8558,55.56,62,90,9.22
14,maku,ir,39.2911,44.4521,69.93,49,69,2.19
16,atuona,pf,-9.8,-139.0333,77.63,67,36,16.26
17,norman wells,ca,65.282,-126.8329,66.24,45,40,9.22
18,mao,td,14.1212,15.3103,84.34,58,75,5.59
19,flinders,au,-34.5833,150.8552,50.0,84,100,11.01
20,butaritari,ki,3.0707,172.7902,82.94,73,25,12.97
21,hermanus,za,-34.4187,19.2345,55.8,91,11,11.05
22,aklavik,ca,68.2191,-135.0107,58.03,56,100,5.17
23,yellowknife,ca,62.456,-114.3525,54.12,71,75,10.36
24,barrow,us,71.2906,-156.7887,33.82,80,90,8.05
25,urumqi,cn,43.801,87.6005,63.55,32,0,0.0
26,ploemeur,fr,47.7333,-3.4333,60.76,86,0,11.5
27,ishigaki,jp,24.3448,124.1572,82.53,89,20,11.5
29,tessalit,ml,20.1986,1.0114,94.05,16,46,1.88
30,dikson,ru,73.5069,80.5464,39.99,93,100,19.98
31,mar del plata,ar,-38.0023,-57.5575,48.22,53,0,5.75
32,sitka,us,57.0531,-135.33,63.75,56,37,5.37
33,bredasdorp,za,-34.5322,20.0403,54.72,88,9,8.05
35,vaini,to,-21.2,-175.2,73.56,78,20,12.66
